segmentasi,tp,fn,fp,tn,recall,precision,f1,recall_sistem,offset_sampel
anotasi,3630,1820,3750,40454,0.666055,0.491870,0.565903,0.666055,0
deteksi,3084,1437,3349,39152,0.682150,0.479403,0.563082,0.565560,38
